id	external_id	external_efo_id
1382601	OMIM:613155	Orphanet_370968,Orphanet_370959
1384101	MESH:C536864,OMIM:182600	Orphanet_100984
1391901	OMIM:610245,MESH:C537201	Orphanet_101108
1392601	OMIM:300659,MESH:C567066	Orphanet_98464
1393501	MESH:C564243,OMIM:608415	Orphanet_75374
1396901	MESH:C566947,OMIM:156200	Orphanet_228402,Orphanet_178469
1400601	OMIM:613477	Orphanet_3451,Orphanet_1934
1405301	MESH:C565766	
1405401	MESH:C564502,OMIM:300504	Orphanet_777
1407701	OMIM:609306,MESH:C537203	Orphanet_101112
1407801	OMIM:608703,MESH:C537202	Orphanet_101111
1412701	MESH:C537199,OMIM:608687	Orphanet_101110
1416201	OMIM:612671	
1421401	MESH:C564354,OMIM:607671	Orphanet_98807
1421501	MESH:C567319,OMIM:612406	Orphanet_99657
1425601	OMIM:605751	Orphanet_306
1437501	OMIM:611369,MESH:C566961	Orphanet_137783
1439201	OMIM:613375	Orphanet_552
1440201	OMIM:606483,MESH:C564702	Orphanet_100043
1443101	OMIM:217300,MESH:C565677	Orphanet_53691
1445201	OMIM:602079,MESH:C536561	
1455101	MESH:C567646,OMIM:613318	Orphanet_45448
1466101	MESH:C537848,OMIM:257320	Orphanet_89844
1467201	OMIM:601308	
1468201	MESH:C537979,OMIM:613108	Orphanet_1334
1479201	OMIM:108120	Orphanet_1146,Orphanet_97120
1479901	MESH:C566450,OMIM:610071	Orphanet_99879
1481001	MESH:C566437,OMIM:610131	Orphanet_254892
1481201	MESH:C565716,OMIM:610154	Orphanet_90636
1481801	OMIM:612433	Orphanet_90636
1483201	MESH:C564629,OMIM:607084	Orphanet_90636
1483301	MESH:C564602,OMIM:607239	Orphanet_90636
1483901	MESH:C565814,OMIM:604232	Orphanet_65,Orphanet_791
1485301	OMIM:609284,MESH:C538348	Orphanet_171881,Orphanet_607
1485801	MESH:C538202,OMIM:609941	Orphanet_90636
1486101	MESH:C538203,OMIM:609952	Orphanet_90636
1490401	OMIM:605818,MESH:C565287	Orphanet_90636
1490601	OMIM:605428,MESH:C565329	Orphanet_90636
1491601	MESH:C566594,OMIM:601992	Orphanet_95
1493701	OMIM:603010,MESH:C566418	Orphanet_90636
1494801	MESH:C567098,OMIM:613608	Orphanet_86814
1495801	OMIM:603098,MESH:C566410	Orphanet_90636
1496001	MESH:C566344,OMIM:603678	Orphanet_90636
1498601	OMIM:613307,MESH:C567651	Orphanet_90636
1503101	OMIM:204500,MESH:C566857	Orphanet_168491,Orphanet_228349,EFO_0003112,Orphanet_79264
1503501	OMIM:613685	Orphanet_90636
1507701	OMIM:612789,MESH:C567562	Orphanet_90636
1512601	OMIM:314400,MESH:C535576	Orphanet_1864
1512801	MESH:C537932,OMIM:609524	Orphanet_171445
1518501	OMIM:612015,MESH:C567437	Orphanet_244310
1532401	OMIM:609958	
1533901	OMIM:610906	
1534001	OMIM:611403	
